 CPU    NFS   CIFS   HTTP   Total     Net   kB/s    Disk   kB/s    Tape   kB/s   Cache  Cache    CP           CP_Ty               CP_Ph       Disk   OTHER    FCP  iSCSI     FCP   kB/s   iSCSI   kB/s   NVMeF   kB/s   kB/s   NVMeT   kB/s   kB/s
                                       in    out    read  write    read  write     age    hit  time  [T--H--F--N--B--O--#--:]  [n--v--p--f]   util                            in    out      in    out             in    out             in    out
 76% 453540      0      0  453543  115188 2018659  2531804       0       0      0     2     74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     14%       3      0      0       0      0       0      0       0      0      0       0      0      0
 83% 487065      0      0  487088  120431 2116751  2728635      24       0      0     2     74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     16%      23      0      0       0      0       0      0       0      0      0       0      0      0
 82% 488423      0      0  488430  118243 2063868  2749012       0       0      0     2     74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     16%       7      0      0       0      0       0      0       0      0      0       0      0      0
 80% 483977      0      0  483987  118104 2059953  2732551    2689       0      0     2     74%    5%   0--0--0--0--0--0--0--0    0--0--0--0     16%      10      0      0       0      0       0      0       0      0      0       0      0      0
 79% 479428      0      0  479437  117857 2056452  2692876      24       0      0     2     74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     15%       9      0      0       0      0       0      0       0      0      0       0      0      0
 79% 485957      0      0  486092  118772 2076076  2721068       0       0      0     2     74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     16%     135      0      0       0      0       0      0       0      0      0       0      0      0
 79% 482304      0      0  482444  118778 2079609  2702154    7712       0      0     2     74%    6%   0--0--0--0--0--0--0--0    0--0--0--0     15%     140      0      0       0      0       0      0       0      0      0       0      0      0
 80% 475986      0      0  476017  117093 2047422  2659868       0       0      0    52s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     16%      31      0      0       0      0       0      0       0      0      0       0      0      0
 82% 475726      0      0  475726  116179 2029769  2662989      12       0      0    52s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     16%       0      0      0       0      0       0      0       0      0      0       0      0      0
 79% 475626      0      0  475636  117362 2042855  2683384      24       0      0    52s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     16%      10      0      0       0      0       0      0       0      0      0       0      0      0
 78% 471375      0      0  471379  116684 2023007  2652759       0       0      0    52s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     15%       4      0      0       0      0       0      0       0      0      0       0      0      0
 78% 472315      0      0  472315  115787 2007599  2654605      24       0      0    52s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     15%       0      0      0       0      0       0      0       0      0      0       0      0      0
 78% 470513      0      0  470516  116417 2011019  2636268       0       0      0    52s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     15%       3      0      0       0      0       0      0       0      0      0       0      0      0
 78% 471966      0      0  471976  117062 2032493  2643401      12       0      0    58s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     15%      10      0      0       0      0       0      0       0      0      0       0      0      0
 CPU    NFS   CIFS   HTTP   Total     Net   kB/s    Disk   kB/s    Tape   kB/s   Cache  Cache    CP           CP_Ty               CP_Ph       Disk   OTHER    FCP  iSCSI     FCP   kB/s   iSCSI   kB/s   NVMeF   kB/s   kB/s   NVMeT   kB/s   kB/s
                                       in    out    read  write    read  write     age    hit  time  [T--H--F--N--B--O--#--:]  [n--v--p--f]   util                            in    out      in    out             in    out             in    out
 79% 467948      0      0  467959  115176 1996658  2610400    1652       0      0    52s    74%    4%   0--0--0--0--0--0--0--0    0--0--0--0     15%      11      0      0       0      0       0      0       0      0      0       0      0      0
 82% 463955      0      0  463958  115164 2000110  2593882       0       0      0    52s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     16%       3      0      0       0      0       0      0       0      0      0       0      0      0
 80% 465628      0      0  465628  114317 1986593  2631748    7964       0      0    52s    74%    6%   0--0--0--0--0--0--0--0    0--0--0--0     16%       0      0      0       0      0       0      0       0      0      0       0      0      0
 77% 466489      0      0  466507  114405 1981421  2620683       0       0      0    52s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     15%      18      0      0       0      0       0      0       0      0      0       0      0      0
 78% 463239      0      0  463251  114941 1988635  2599021      12       0      0    52s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     15%      12      0      0       0      0       0      0       0      0      0       0      0      0
 78% 464277      0      0  464284  145934 2471887  2600284      24       0      0    52s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     15%       7      0      0       0      0       0      0       0      0      0       0      0      0
 79% 467253      0      0  467364  117532 1995880  2609626       0       0      0    52s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     14%     111      0      0       0      0       0      0       0      0      0       0      0      0
 81% 470492      0      0  470600  117626 2012298  2633429      24       0      0    52s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     15%     108      0      0       0      0       0      0       0      0      0       0      0      0
 82% 469209      0      0  469209  117052 2005853  2629096       0       0      0    52s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     16%       0      0      0       0      0       0      0       0      0      0       0      0      0
 79% 472307      0      0  472317  118499 2022116  2667465      12       0      0    52s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     15%      10      0      0       0      0       0      0       0      0      0       0      0      0
 79% 474314      0      0  474323  118872 2028788  2671512    2298       0      0    52s    74%    4%   0--0--0--0--0--0--0--0    0--0--0--0     15%       9      0      0       0      0       0      0       0      0      0       0      0      0
 79% 470989      0      0  470991  119027 2021442  2644196       0       0      0    52s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     15%       2      0      0       0      0       0      0       0      0      0       0      0      0
 80% 474757      0      0  474759  119336 2024985  2661646    7768       0      0    52s    74%    6%   0--0--0--0--0--0--0--0    0--0--0--0     15%       2      0      0       0      0       0      0       0      0      0       0      0      0
 79% 473289      0      0  473306  119479 2025630  2647532       0       0      0    52s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     15%      17      0      0       0      0       0      0       0      0      0       0      0      0
 82% 472761      0      0  472773  119316 2032743  2642466      12       0      0    46s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     15%      12      0      0       0      0       0      0       0      0      0       0      0      0
 83% 472915      0      0  472921  118641 2030145  2659197      24       0      0    46s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     16%       6      0      0       0      0       0      0       0      0      0       0      0      0
 79% 469193      0      0  469196  116503 2008122  2644416     400       0      0    46s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     16%       3      0      0       0      0       0      0       0      0      0       0      0      0
 80% 479616      0      0  479639  120642 2047242  2701099      24       0      0    46s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     15%      23      0      0       0      0       0      0       0      0      0       0      0      0
 78% 473032      0      0  473032  117223 2019812  2660695       0       0      0    46s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     15%       0      0      0       0      0       0      0       0      0      0       0      0      0
 80% 477480      0      0  477492  120181 2037095  2667496      12       0      0    46s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     15%      12      0      0       0      0       0      0       0      0      0       0      0      0
 CPU    NFS   CIFS   HTTP   Total     Net   kB/s    Disk   kB/s    Tape   kB/s   Cache  Cache    CP           CP_Ty               CP_Ph       Disk   OTHER    FCP  iSCSI     FCP   kB/s   iSCSI   kB/s   NVMeF   kB/s   kB/s   NVMeT   kB/s   kB/s
                                       in    out    read  write    read  write     age    hit  time  [T--H--F--N--B--O--#--:]  [n--v--p--f]   util                            in    out      in    out             in    out             in    out
 79% 471000      0      0  471009  119261 2017051  2636320    2246       0      0    52s    74%    5%   0--0--0--0--0--0--0--0    0--0--0--0     15%       9      0      0       0      0       0      0       0      0      0       0      0      0
 84% 479008      0      0  479160  121114 2046628  2680499       0       0      0    52s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     16%     152      0      0       0      0       0      0       0      0      0       0      0      0
 84% 474709      0      0  474808  119853 2031710  2675216    7436       0      0    52s    74%    6%   0--0--0--0--0--0--0--0    0--0--0--0     16%      99      0      0       0      0       0      0       0      0      0       0      0      0
 81% 480641      0      0  480656  122284 2061180  2712452       0       0      0    52s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     16%      15      0      0       0      0       0      0       0      0      0       0      0      0
 80% 478849      0      0  479741  122418 2054555  2698370      12       0      0    52s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     15%     892      0      0       0      0       0      0       0      0      0       0      0      0
 81% 485023      0      0  485032  122583 2070866  2726050      24       0      0    52s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     15%       9      0      0       0      0       0      0       0      0      0       0      0      0
 79% 474977      0      0  474977  118967 2034861  2656687       0       0      0    52s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     15%       0      0      0       0      0       0      0       0      0      0       0      0      0
 80% 473171      0      0  473171  120918 2041577  2641786      24       0      0    52s    74%    0%   0--0--0--0--0--0--0--0    0--0--0--0     15%       0      0      0       0      0       0      0       0      0      0       0      0      0
